"","id","title","topics"
"323",57139,"Курс 9. Интеграция через операции",23
"324",57133,"СУБД 2019 в ИТМО",28
"325",57118,"Основы финансовой грамотности",15
"326",57107,"ЕГЭ информатика (1 часть) | kotolis.ru",18
"327",56644,"Правовые аспекты обеспечения конфиденциальности перс.данных",3
"328",56620,"Подготовка к ЕГЭ по русскому языку",25
"329",57106,"""Высшая проба"" по электронике и информатике для 9-х классов",26
"330",57082,"Аутогенная тренировка, теория и практика. Авторская методика",27
"331",57062,"Грамматика английского языка для медиков и фармацевтов 1 ",14
"332",57055,"Русский язык как иностранный. Буду учиться в России.",1
"333",57029,"Обработка персональных данных в медицинских организациях",3
"334",57020,"Охрана объектов культурного наследия: Ярославская область",22
"335",57010,"Компьютерная лингводидактика",3
"336",57007,"Чистая энергетика на твердом топливе – это реально",30
"337",56929,"Python in de klas - Klas 1",11
"338",56920,"Python. Фрактал 2019-2020",29
"339",56910,"Ваш первый онлайн-сервис на Python",7
"340",56898,"Адаптационный курс для учащихся ДВФУ",17
"341",54537,"Выбор видеооборудования",10
"342",56883,"Маркетинговые исследования и ситуационный анализ",25
"343",56880,"Introductory Python LIACS",8
"344",56860,"Математика по полочкам",18
"345",56856,"Глобальные тренды и инновационная экономика",13
"346",56831,"Computational Thinking for Engineering 2019 (Group 6)",11
"347",56821,"Kalkulus",11
"348",56812,"Программирование на Scratch",21
"349",56804,"Клиническая биоинформатика: обсуждаем по-английски",14
"350",56762,"Computational Thinking for Engineering 2019 (Group 7)",11
"351",54532,"Beam Katas - Python",18
"352",56741,"ProgTuts: Задачи в сказках. Demo",28
"353",56728,"Азбука финансов",15
"354",56711,"Курс 4. Email-рассылки",23
"355",56710,"Ментальный серфинг - навык будущего",10
"356",56704,"Подготовка к собеседованию Java",5
"357",56664,"Йога курс ""Основы Йоги""",5
"358",56594,"Соточка по русскому",16
"359",56560,"Курс 2. Продукты и заказы",23
"360",56541,"IELTS Academic Express",11
"361",56473,"(v1) Основы инженерного 3D и прототипирования для педагогов",10
"362",56461,"Cálculo II - UFTM",11
"363",56434,"Правовые основы электронного документооборота",5
"364",54530,"Beam Katas - Java",18
"365",56410,"Организация и сопровождение электронного документооборота",5
"366",56401,"Web 3.0 на платформе Waves ",14
"367",56386,"Курс 1. Клиенты и действия",23
"368",56380,"Школа волонтера: базовые понятия",30
"369",56365,"Мыш кродеться. Курс по истории русской орфографии",5
"370",56318,"Технические методы и средства,технологии защиты информации",20
"371",56313,"Курс 3. Фильтры",23
"372",56280,"BI разработчик. Основы работы в Tableau",14
"373",56258,"Информатика для студентов",28
"374",56237," Атлетическая гимнастика",6
"375",56217,"Представление данных: основы",12
"376",56176,"Базовый курс работы с видеоредактором Movavi Video Editor",12
"377",56161,"Волонтерский фандрайзинг — раскладываем на пальцах!",1
"378",56146,"Курс по основам работы контент-менеджера Ивентишес",1
"379",54274,"Онлайн-сборник ОГЭ по математике 2020 (1 часть)",18
"380",56135,"Французский язык ""Français de base"" - Ознакомительная версия",16
"381",56071,"Базовые навыки Excel",15
"382",56048,"Как предотвратить насилие и кибербуллинг в школе?",17
"383",56047,"Комплексное сексуальное образование",17
"384",54268,"Шахматы для детей",20
"385",54265,"Introduction to Dental Materials Science",2
"386",56046,"Эффективное общение родителей с детьми-подростками",17
"387",55997," Задачи Олимпиады НТИ (2018-2019гг)",29
"388",55949,"Задачи с параметрами",18
"389",55946,"Классы на шариках",23
"390",55936,"ЕГЭ по математике: неравенства",18
"391",55929,"Bioinformatics I: Finding Hidden Messages in DNA",16
"392",30058,"ЕГЭ по информатике: B часть",28
"393",55925,"ЕГЭ по математике: уравнения",18
"394",55920,"Решение задач по патологии",2
"395",55918,"Основы программирования на С/C++",23
"396",55901,"Психология инсайта",24
"397",55889,"Школа проектов от Geek Teachers",21
"398",55887,"Основы современной экономики: микроэкономика, макроэкономика",3
"399",1566,"ЕГЭ по информатике. Сборник задач",5
"400",55838,"Школа спикеров от Geek Teachers",5
"401",55789,"Bioinformatics Algorithms: An Active Learning Approach",11
"402",55776,"Расширенные возможности SQL",7
"403",55759,"Business Leader",2
"404",55706,"Стоки. Точка взлета",1
"405",55705,"Информатика",28
"406",55690,"С для начинающих",20
"407",55628,"Курс NIS Computer Science",8
"408",55618,"STM.CLUB и сетевой бизнес",10
"409",55461,"ЕГЭ (Математика) 1 часть | kotolis.ru",18
"410",55405,"Стратегический интернет маркетинг для собственников бизнесов",27
"411",55398,"Easy Korean",25
"412",1280,"Обработка изображений",14
"413",55316,"Обеспечение доступности общественного объекта",6
"414",55280,"Системы видеонаблюдения (часть 2)",28
"415",55141,"Информатика | Неделя на пределе 2019",29
"416",55102,"Информатика 6 класс",12
"417",55089,"Основы проектирования технологических комплексов",23
"418",55072,"ОГЭ по математике: C часть",18
"419",54253,"Путешествия. Начало",12
"420",838,"История России. IX-XIII вв.",25
"421",55014,"Основы программирования микроконтроллеров семейства Arduino",21
"422",54945,"KOREAN SIMPLE 1급. Пробный доступ.",15
"423",54932,"SM-маркетинг. Продвижение в мессенджерах",7
"424",54926,"Основы технологий распределенного реестра",10
"425",54905,"Основы строительного проектирования (практические работы)",4
"426",54888,"Энциклопедия упражнений - тренажерный зал (бета)",25
"427",54869,"FACE HUNTER: Чтение эмоций по лицу",14
"428",54217,"Memulai Pemrograman dengan Kotlin",21
"429",54169,"Ментальная арифметика. Сложение и вычитание. Пробная версия",10
"430",54849,"Предбанник (ЕГЭ по русскому языку)",27
"431",54823,"Оценка персонала и самодиагностика. Базовый курс",17
"432",54703,"Финансовый анализ",3
"433",54620,"Родной русский язык ",9
"434",54604,"Порядок подачи иска в суд общей юрисдикции в электронной форме",6
"435",54044,"Системы видеонаблюдения (часть 1)",28
"436",54434,"Профилактика эмоционального выгорания ""Второе дыхание""",25
"437",54415,"Mastering Web3 with Waves",17
"438",54403,"Программирование на Golang",19
"439",54393,"Подача искового заявления в арбитражный суд в электронной форме",6
"440",54364,"Инструменты БД Scopus",3
"441",54161,"Трейдинг. Базовый уровень. Поиск точки входа.",12
"442",54150,"Контесты для Силаэдра. Питон и паскаль",16
"443",54111,"Японский 101: письменность и произношение",14
"444",54105,"Основы безопасности жизнедеятельности",22
"445",54098,"Нейронные сети и обработка текста",28
"446",54049,"Цели устойчивого развития для НКО",20
"447",53768,"Общие вопросы философии науки",24
"448",53634,"Спортивное программирование",29
"449",53633,"ASD2-Test",11
"450",53562,"English for tourists",14
"451",53516,"«Теория цепей радиоэлектронных и телекоммуникационных устройств»",26
"452",53461,"Основы ЭЭГ",18
"453",53450,"Тактика ведения пациентов с БАС",14
"454",53442,"Финансовая грамотность",17
"455",53441,"Основы строительного проектирования (дела)",4
"456",834,"О Британии вкратце.",16
"457",238,"Introduction to Python",8
"458",53398,"Экономический анализ",3
"459",53348,"Олимпиадная математика с T-Boom",29
"460",53334,"Основы дизайна интерфейсов",1
"461",53288,"Случайные распределения",4
"462",53266,"Практическая педагогика",13
"463",53244,"Introduction to Communication",5
"464",53196,"Поэзия ""оттепели""",25
"465",53182,"JavaScript. Программирование от основ до веб-приложений(+Vue.js)",21
"466",53176,"Предпринимательская деятельность в НКО",1
"467",53084,"Химические формулы, уравнения и задачи!",27
